Combinación;1A;1B;1D;1E;1G;1I;1K;1L
EFGHIJKL;3E;3J;3I;3F;3H;3G;3L;3K
DFGHIJKL;3H;3G;3I;3D;3J;3F;3L;3K
DEGHIJKL;3E;3J;3I;3D;3H;3G;3L;3K
DEFHIJKL;3E;3J;3I;3D;3H;3F;3L;3K
DEFGIJKL;3E;3G;3I;3D;3J;3F;3L;3K
DEFGHJKL;3E;3G;3J;3D;3H;3F;3L;3K
DEFGHIKL;3E;3G;3I;3D;3H;3F;3L;3K
DEFGHIJL;3E;3G;3J;3D;3H;3F;3L;3I
DEFGHIJK;3E;3G;3J;3D;3H;3F;3I;3K
CFGHIJKL;3H;3G;3I;3C;3J;3F;3L;3K
CEGHIJKL;3E;3J;3I;3C;3H;3G;3L;3K
CEFHIJKL;3E;3J;3I;3C;3H;3F;3L;3K
CEFGIJKL;3E;3G;3I;3C;3J;3F;3L;3K
CEFGHJKL;3E;3G;3J;3C;3H;3F;3L;3K
CEFGHIKL;3E;3G;3I;3C;3H;3F;3L;3K
CEFGHIJL;3E;3G;3J;3C;3H;3F;3L;3I
CEFGHIJK;3E;3G;3J;3C;3H;3F;3I;3K
CDGHIJKL;3H;3G;3I;3C;3J;3D;3L;3K
CDFHIJKL;3C;3J;3I;3D;3H;3F;3L;3K
CDFGIJKL;3C;3G;3I;3D;3J;3F;3L;3K
CDFGHJKL;3C;3G;3J;3D;3H;3F;3L;3K
CDFGHIKL;3C;3G;3I;3D;3H;3F;3L;3K
CDFGHIJL;3C;3G;3J;3D;3H;3F;3L;3I
CDFGHIJK;3C;3G;3J;3D;3H;3F;3I;3K
CDEHIJKL;3E;3J;3I;3C;3H;3D;3L;3K
CDEGIJKL;3E;3G;3I;3C;3J;3D;3L;3K
CDEGHJKL;3E;3G;3J;3C;3H;3D;3L;3K
CDEGHIKL;3E;3G;3I;3C;3H;3D;3L;3K
CDEGHIJL;3E;3G;3J;3C;3H;3D;3L;3I
CDEGHIJK;3E;3G;3J;3C;3H;3D;3I;3K
CDEFIJKL;3C;3J;3E;3D;3I;3F;3L;3K
CDEFHJKL;3C;3J;3E;3D;3H;3F;3L;3K
CDEFHIKL;3C;3E;3I;3D;3H;3F;3L;3K
CDEFHIJL;3C;3J;3E;3D;3H;3F;3L;3I
CDEFHIJK;3C;3J;3E;3D;3H;3F;3I;3K
CDEFGJKL;3C;3G;3E;3D;3J;3F;3L;3K
CDEFGIKL;3C;3G;3E;3D;3I;3F;3L;3K
CDEFGIJL;3C;3G;3E;3D;3J;3F;3L;3I
CDEFGIJK;3C;3G;3E;3D;3J;3F;3I;3K
CDEFGHKL;3C;3G;3E;3D;3H;3F;3L;3K
CDEFGHJL;3C;3G;3J;3D;3H;3F;3L;3E
CDEFGHJK;3C;3G;3J;3D;3H;3F;3E;3K
CDEFGHIL;3C;3G;3E;3D;3H;3F;3L;3I
CDEFGHIK;3C;3G;3E;3D;3H;3F;3I;3K
CDEFGHIJ;3C;3G;3J;3D;3H;3F;3E;3I
BFGHIJKL;3H;3J;3B;3F;3I;3G;3L;3K
BEGHIJKL;3E;3J;3I;3B;3H;3G;3L;3K
BEFHIJKL;3E;3J;3B;3F;3I;3H;3L;3K
BEFGIJKL;3E;3J;3B;3F;3I;3G;3L;3K
BEFGHJKL;3E;3J;3B;3F;3H;3G;3L;3K
BEFGHIKL;3E;3G;3B;3F;3I;3H;3L;3K
BEFGHIJL;3E;3J;3B;3F;3H;3G;3L;3I
BEFGHIJK;3E;3J;3B;3F;3H;3G;3I;3K
BDGHIJKL;3H;3J;3B;3D;3I;3G;3L;3K
BDFHIJKL;3H;3J;3B;3D;3I;3F;3L;3K
BDFGIJKL;3I;3G;3B;3D;3J;3F;3L;3K
BDFGHJKL;3H;3G;3B;3D;3J;3F;3L;3K
BDFGHIKL;3H;3G;3B;3D;3I;3F;3L;3K
BDFGHIJL;3H;3G;3B;3D;3J;3F;3L;3I
BDFGHIJK;3H;3G;3B;3D;3J;3F;3I;3K
BDEHIJKL;3E;3J;3B;3D;3I;3H;3L;3K
BDEGIJKL;3E;3J;3B;3D;3I;3G;3L;3K
BDEGHJKL;3E;3J;3B;3D;3H;3G;3L;3K
BDEGHIKL;3E;3G;3B;3D;3I;3H;3L;3K
BDEGHIJL;3E;3J;3B;3D;3H;3G;3L;3I
BDEGHIJK;3E;3J;3B;3D;3H;3G;3I;3K
BDEFIJKL;3E;3J;3B;3D;3I;3F;3L;3K
BDEFHJKL;3E;3J;3B;3D;3H;3F;3L;3K
BDEFHIKL;3E;3I;3B;3D;3H;3F;3L;3K
BDEFHIJL;3E;3J;3B;3D;3H;3F;3L;3I
BDEFHIJK;3E;3J;3B;3D;3H;3F;3I;3K
BDEFGJKL;3E;3G;3B;3D;3J;3F;3L;3K
BDEFGIKL;3E;3G;3B;3D;3I;3F;3L;3K
