date,team,opponent,goals,goals_conceded,is_home,elo,opponent_elo,xg,opponent_xg,tournament,city,country,neutral,gf_prom_5,gc_prom_5,elo_prom_5,gf_prom_15,gc_prom_15,total_goals,pace_20,rival_gf_prom_5,rival_gc_prom_5,rival_elo_prom_5,rival_gf_prom_15,rival_gc_prom_15
2016-01-03,Afghanistan,India,1,2,False,1149.0,1068.0,,,SAFF Cup,Thiruvananthapuram,India,False,,,,,,3,,,,,,
2016-01-03,India,Afghanistan,2,1,True,1068.0,1149.0,,,SAFF Cup,Thiruvananthapuram,India,False,,,,,,3,,,,,,
2016-01-06,Cameroon,Rwanda,1,1,False,1607.0,1338.0,,,Friendly,Gisenyi,Rwanda,False,,,,,,2,,,,,,
2016-01-06,Estonia,Sweden,1,1,False,1492.0,1765.0,,,Friendly,Abu Dhabi,United Arab Emirates,True,,,,,,2,,,,,,
2016-01-06,Rwanda,Cameroon,1,1,True,1338.0,1607.0,,,Friendly,Gisenyi,Rwanda,False,,,,,,2,,,,,,
2016-01-06,Sweden,Estonia,1,1,True,1765.0,1492.0,,,Friendly,Abu Dhabi,United Arab Emirates,True,,,,,,2,,,,,,
2016-01-08,Trinidad and Tobago,Haiti,0,1,True,1614.0,1475.0,,,Copa América qualification,Panama City,Panama,True,,,,,,1,,,,,,
2016-01-08,Sri Lanka,Bangladesh,2,4,False,782.0,897.0,,,Friendly,Jessore,Bangladesh,False,,,,,,6,,,,,,
2016-01-08,Panama,Cuba,4,0,True,1682.0,1339.0,,,Copa América qualification,Panama City,Panama,False,,,,,,4,,,,,,
2016-01-08,Haiti,Trinidad and Tobago,1,0,False,1475.0,1614.0,,,Copa América qualification,Panama City,Panama,True,,,,,,1,,,,,,
2016-01-08,Cuba,Panama,0,4,False,1339.0,1682.0,,,Copa América qualification,Panama City,Panama,False,,,,,,4,,,,,,
2016-01-08,Bangladesh,Sri Lanka,4,2,True,897.0,782.0,,,Friendly,Jessore,Bangladesh,False,,,,,,6,,,,,,
2016-01-10,DR Congo,Rwanda,0,1,False,1504.0,1343.0,,,Friendly,Gisenyi,Rwanda,False,,,,,,1,,1.0,1.0,1607.0,1.0,1.0
2016-01-10,Finland,Sweden,0,3,False,1602.0,1758.0,,,Friendly,Abu Dhabi,United Arab Emirates,True,,,,,,3,,1.0,1.0,1492.0,1.0,1.0
2016-01-10,Rwanda,DR Congo,1,0,True,1343.0,1504.0,,,Friendly,Gisenyi,Rwanda,False,1.0,1.0,1607.0,1.0,1.0,1,2.0,,,,,
2016-01-10,Sweden,Finland,3,0,True,1758.0,1602.0,,,Friendly,Abu Dhabi,United Arab Emirates,True,1.0,1.0,1492.0,1.0,1.0,3,2.0,,,,,
2016-01-11,Maldives,Cambodia,3,2,True,998.0,731.0,,,Friendly,Jessore,Bangladesh,True,,,,,,5,,,,,,
2016-01-11,Cambodia,Maldives,2,3,False,731.0,998.0,,,Friendly,Jessore,Bangladesh,True,,,,,,5,,,,,,
2016-01-13,Cameroon,Uganda,0,0,False,1602.0,1530.0,,,Friendly,Njeru,Uganda,False,1.0,1.0,1338.0,1.0,1.0,0,2.0,,,,,
2016-01-13,Finland,Iceland,0,1,True,1596.0,1673.0,,,Friendly,Abu Dhabi,United Arab Emirates,True,0.0,3.0,1758.0,0.0,3.0,1,3.0,,,,,
2016-01-13,Iceland,Finland,1,0,False,1673.0,1596.0,,,Friendly,Abu Dhabi,United Arab Emirates,True,,,,,,1,,0.0,3.0,1758.0,0.0,3.0
2016-01-13,Nepal,Sri Lanka,1,0,True,851.0,778.0,,,Friendly,Dhaka,Bangladesh,True,,,,,,1,,2.0,4.0,897.0,2.0,4.0
2016-01-13,Sri Lanka,Nepal,0,1,False,778.0,851.0,,,Friendly,Dhaka,Bangladesh,True,2.0,4.0,897.0,2.0,4.0,1,6.0,,,,,
2016-01-13,Uganda,Cameroon,0,0,True,1530.0,1602.0,,,Friendly,Njeru,Uganda,False,,,,,,0,,1.0,1.0,1338.0,1.0,1.0
2016-01-15,Bangladesh,Nepal,0,0,True,901.0,859.0,,,Friendly,Dhaka,Bangladesh,False,4.0,2.0,782.0,4.0,2.0,0,6.0,1.0,0.0,778.0,1.0,0.0
2016-01-15,Nepal,Bangladesh,0,0,False,859.0,901.0,,,Friendly,Dhaka,Bangladesh,False,1.0,0.0,778.0,1.0,0.0,0,1.0,4.0,2.0,782.0,4.0,2.0
2016-01-16,Iceland,United Arab Emirates,1,2,False,1681.0,1627.0,,,Friendly,Dubai,United Arab Emirates,False,1.0,0.0,1596.0,1.0,0.0,3,1.0,,,,,
2016-01-16,United Arab Emirates,Iceland,2,1,True,1627.0,1681.0,,,Friendly,Dubai,United Arab Emirates,False,,,,,,3,,1.0,0.0,1596.0,1.0,0.0
2016-01-19,Maldives,Nepal,1,4,True,1002.0,863.0,,,Friendly,Dhaka,Bangladesh,True,3.0,2.0,731.0,3.0,2.0,5,5.0,0.5,0.0,839.5,0.5,0.0
2016-01-19,Nepal,Maldives,4,1,False,863.0,1002.0,,,Friendly,Dhaka,Bangladesh,True,0.5,0.0,839.5,0.5,0.0,5,0.5,3.0,2.0,731.0,3.0,2.0
2016-01-27,Egypt,Jordan,0,1,True,1609.0,1531.0,,,Friendly,Aswan,Egypt,False,,,,,,1,,,,,,
2016-01-27,Jordan,Egypt,1,0,False,1531.0,1609.0,,,Friendly,Aswan,Egypt,False,,,,,,1,,,,,,
2016-01-29,Egypt,Libya,2,0,True,1594.0,1505.0,,,Friendly,Aswan,Egypt,False,0.0,1.0,1531.0,0.0,1.0,2,1.0,,,,,
2016-01-29,Libya,Egypt,0,2,False,1505.0,1594.0,,,Friendly,Aswan,Egypt,False,,,,,,2,,0.0,1.0,1531.0,0.0,1.0
2016-01-31,United States,Iceland,3,2,True,1758.0,1672.0,,,Friendly,Carson,United States,False,,,,,,5,,1.0,1.0,1611.5,1.0,1.0
2016-01-31,Iceland,United States,2,3,False,1672.0,1758.0,,,Friendly,Carson,United States,False,1.0,1.0,1611.5,1.0,1.0,5,2.0,,,,,
2016-02-05,Bahrain,Lebanon,2,0,True,1414.0,1404.0,,,Friendly,Riffa,Bahrain,False,,,,,,2,,,,,,
2016-02-05,Lebanon,Bahrain,0,2,False,1404.0,1414.0,,,Friendly,Riffa,Bahrain,False,,,,,,2,,,,,,
2016-02-06,Guadeloupe,Martinique,1,1,True,1318.0,1440.0,,,Friendly,Vieux-Habitants,Guadeloupe,False,,,,,,2,,,,,,
2016-02-06,Martinique,Guadeloupe,1,1,False,1440.0,1318.0,,,Friendly,Vieux-Habitants,Guadeloupe,False,,,,,,2,,,,,,
2016-02-14,Lebanon,Uzbekistan,0,2,False,1397.0,1650.0,,,Friendly,Dubai,United Arab Emirates,True,0.0,2.0,1414.0,0.0,2.0,2,2.0,,,,,
2016-02-14,Uzbekistan,Lebanon,2,0,True,1650.0,1397.0,,,Friendly,Dubai,United Arab Emirates,True,,,,,,2,,0.0,2.0,1414.0,0.0,2.0
2016-02-21,Guyana,Suriname,2,0,True,1223.0,1169.0,,,Friendly,Providence,Guyana,False,,,,,,2,,,,,,
2016-02-21,Suriname,Guyana,0,2,False,1169.0,1223.0,,,Friendly,Providence,Guyana,False,,,,,,2,,,,,,
