Team_1,Score_1,Score_2,Team_2
South Africa,0,1,Canada
Brazil,1,0,Japan
Germany,1,2,Paraguay
Netherlands,1,2,Morocco
Ivory Coast,1,2,Norway
France,2,0,Sweden
Mexico,1,2,Ecuador
England,2,0,DR Congo
Belgium,2,1,Senegal
United States,2,1,Bosnia and Herzegovina
Spain,1,0,Austria
Portugal,2,1,Croatia
Switzerland,2,1,Algeria
Australia,2,1,Egypt
Argentina,2,1,Cape Verde
Colombia,4,1,Ghana
Canada,2,1,Morocco
Paraguay,0,2,France
Brazil,2,1,Norway
Ecuador,0,1,England
Spain,2,1,Portugal
United States,3,2,Belgium
Argentina,0,1,Australia
Switzerland,1,2,Colombia
Canada,0,2,France
Spain,2,1,United States
Brazil,1,2,England
Australia,2,1,Colombia
France,2,3,Spain
England,2,0,Australia
France,2,1,Australia
Spain,0,2,England
