Team_1,Score_1,Score_2,Team_2
South Africa,0,1,Canada
Brazil,2,1,Japan
Germany,2,1,Paraguay
Netherlands,1,2,Morocco
Ivory Coast,2,1,Norway
France,2,1,Sweden
Mexico,1,2,Ecuador
England,2,0,DR Congo
Belgium,1,0,Senegal
United States,3,2,Bosnia and Herzegovina
Spain,2,1,Austria
Portugal,2,3,Croatia
Switzerland,2,1,Algeria
Australia,2,1,Egypt
Argentina,4,0,Cape Verde
Colombia,2,0,Ghana
Canada,1,2,Morocco
Germany,1,2,France
Brazil,2,1,Ivory Coast
Ecuador,0,1,England
Spain,2,1,Croatia
United States,3,2,Belgium
Argentina,1,2,Australia
Switzerland,3,2,Colombia
Morocco,1,2,France
Spain,2,1,United States
Brazil,1,3,England
Australia,0,1,Switzerland
France,2,3,Spain
England,2,1,Switzerland
France,2,1,Switzerland
Spain,0,2,England
